Period,Year,Quarter,Segment,Region,Revenue (€m),EBITDA (€m),Volume Growth (%),EBITDA Margin,StartDate
FY2024,2024,FY,Group,Global,8000,1250,3.3,15.70%,1/1/2024 0:00
FY2024,2024,FY,Continuing Operations,Global,6930,1188,3.3,17.10%,1/1/2024 0:00
FY2023,2023,FY,Group,Global,8020,1165,-0.9,14.50%,1/1/2023 0:00
FY2023,2023,FY,Continuing Operations,Global,6968,1102,-0.9,15.80%,1/1/2023 0:00
FY2022,2022,FY,Group,Global,8772,1216,6.1,15.70%,1/1/2022 0:00
FY2022,2022,FY,Continuing Operations,Global,7350,1077,6.1,14.70%,1/1/2022 0:00
Q1 2025,2025,Q1,Group,Global,3500,,3.1,16.10%,1/1/2025 0:00
